name,categories,address,price,likes,photos,tips,rating,ratingSignals,has_rating,signals_band,engagement
Burger Boutique (برجر بوتيك),Burger Joint,"Mousa Bin Nusair St (Musa Ibn Nusair St), الرياض 12214, المملكة العربية السعودية",Expensive,9984.0,20750,2301,9.1,12376.0,1,500+,33035.0
Urth Caffé (إيرث كافيه),Café,"Tahlia St (‪Prince Abdulaziz Bin Musaed Bin Jalawi St‬), الرياض 13713, المملكة العربية السعودية",Cheap,8975.0,24887,2240,9.1,11403.0,1,500+,36102.0
Nozomi (نوزومي),"Japanese Restaurant, Restaurant","Abdulaziz Bin Musa'ed Bin Jalawi St (at Sultan Bin Abdulaziz St), الرياض 12234, المملكة العربية السعودية",Very Expensive,6526.0,13256,1701,9.3,8019.0,1,500+,21483.0
Section-B (سكشن-بي),Burger Joint,"Prince Turki Ibin Abdulaziz Alawwal Rd, الرياض 13512, المملكة العربية السعودية",Cheap,6087.0,15365,1354,9.1,7528.0,1,500+,22806.0
Chunk (تشنك),"Café, Pastry Shop, Bakery","Fiorenza la piazza (Takhassusi St), الرياض 12364, المملكة العربية السعودية",Moderate,5894.0,15467,988,9.0,7160.0,1,500+,22349.0
JOLT (جولت),Coffee Shop,"Prince Turki Ibn Abdulaziz Al Awwal Rd (Prince Turki Bin Abdulaziz Al Awal Road), الرياض 12362, المملكة العربية السعودية",Cheap,5298.0,19716,971,8.4,7108.0,1,500+,25985.0
Off White Restaurant & Lounge (أوف وايت لاونج),"Middle Eastern Restaurant, Mediterranean Restaurant, Lounge","Exit 5 (King Abdulaziz St.), الرياض, المملكة العربية السعودية",Expensive,5557.0,5609,1740,9.0,7091.0,1,500+,12906.0
Camel Step Roasters (محمصة خطوة جمل),"Coffee Roaster, Coffee Shop","Abi Bakr As Siddiq Rd (Exit 6), الرياض 12475, المملكة العربية السعودية",Nan,5555.0,26332,1215,9.1,6583.0,1,500+,33102.0
Lusin (لوسين),"Eastern European Restaurant, Armenian Restaurant","Centria Mall, 2nd Floor (Tahliya St.), الرياض, المملكة العربية السعودية",Expensive,5401.0,6054,1467,9.2,6407.0,1,500+,12922.0
Tokyo (طوكيو),"Japanese Restaurant, Sushi Restaurant","Oruba Rd., الرياض 11323, المملكة العربية السعودية",Expensive,4819.0,6976,1335,8.9,6245.0,1,500+,13130.0
SALT (سولت),Burger Joint,"Riyadh Park Mall - Gate 1 (North Ring Rd.), الرياض 13711, المملكة العربية السعودية",Cheap,4785.0,18491,763,9.1,5693.0,1,500+,24039.0
Madeleine (مادلين),"French Restaurant, Bakery, Pastry Shop","The Boulevard (Prince Turki bin Abdulaziz Al Awwal Rd), الرياض 13513, المملكة العربية السعودية",Expensive,4585.0,12657,1253,9.1,5669.0,1,500+,18495.0
Starbucks (ستاربكس),Coffee Shop,"King Abdullah Rd. (Al-woroud), الرياض, المملكة العربية السعودية",Expensive,4720.0,8225,473,9.0,5584.0,1,500+,13418.0
BLAC. (بلك),New American Restaurant,"Takhassusi St., الرياض 12344, المملكة العربية السعودية",Expensive,6486.0,11772,1050,7.7,5559.0,1,500+,19308.0
Dose Cafe (دوز كافيه),"Coffee Shop, Café","Anas Ibn Malik Rd (Anas Ibn Malik Rd.), الرياض 13521, المملكة العربية السعودية",Cheap,3773.0,19924,815,8.0,5210.0,1,500+,24512.0
Starbucks (ستاربكس),Coffee Shop,"King Abdullah Rd. (King abdullah Rd), الرياض 13216, المملكة العربية السعودية",Expensive,4223.0,10114,447,9.0,5030.0,1,500+,14784.0
TRIESTE (تريستي),Coffee Shop,"Imam Saud Bin Abdulaziz St, الرياض 12381, المملكة العربية السعودية",Cheap,3742.0,25811,848,8.8,4928.0,1,500+,30401.0
Starbucks (ستاربكس),Coffee Shop,"Jarir Riyadh-Khorais (Khurais Rd), الرياض 14212, المملكة العربية السعودية",Moderate,4181.0,11492,476,9.1,4902.0,1,500+,16149.0
CAF Cafe,Coffee Shop,"Prince Turki Bin Abdulaziz Al Awwal Rd, الرياض 12385, المملكة العربية السعودية",Cheap,3798.0,22027,683,8.6,4870.0,1,500+,26508.0
Le D'or Cafe & Lounge (لي د'ور كافيه & لاونج),"French Restaurant, Lounge, Café","Prince Turki Ibn Abdulaziz-Senior Rd (Saeed Al Mutaee St), الرياض, المملكة العربية السعودية",Expensive,3650.0,9744,963,8.5,4851.0,1,500+,14357.0
Le Chateau (لو شاتّو),Chinese Restaurant,"Takhasusi St (King Abdullah Rd.), الرياض, المملكة العربية السعودية",Expensive,3397.0,4281,1042,8.3,4754.0,1,500+,8720.0
The COFFEEHOLICS (كوفي هوليكس),Coffee Shop,"After Turki Al Awal Garden (Prince Turki Bin Abdulaziz Al Awal), الرياض 12362, المملكة العربية السعودية",Cheap,3467.0,20160,707,8.9,4409.0,1,500+,24334.0
Le Relais de l'Entrecôte (لوروليه دو لانتغيكوت),"French Restaurant, Steakhouse","Prince Mohammad Bin Abdulaziz Rd., الرياض, المملكة العربية السعودية",Expensive,3337.0,5900,760,8.7,4352.0,1,500+,9997.0
Café Bateel (كافيه بتيل),Café,"Tahlia St (Olaya St), الرياض 11383, المملكة العربية السعودية",Expensive,3313.0,3678,1079,8.7,4297.0,1,500+,8070.0
Kampai (كمباي),Japanese Restaurant,"Tahlia St., الرياض, المملكة العربية السعودية",Expensive,3177.0,3653,1029,8.5,4280.0,1,500+,7859.0
Starbucks (ستاربكس),Coffee Shop,"Tilal Centre Anas-Anas bin malek road, الرياض 13524, المملكة العربية السعودية",Moderate,3651.0,7497,393,9.1,4232.0,1,500+,11541.0
Burger Boutique (برجر بوتيك),Burger Joint,"Almakan Mall (Mohammed Bin Saad Bin Abdulaziz), الرياض 13521, المملكة العربية السعودية",Cheap,3453.0,10654,570,9.0,4203.0,1,500+,14677.0
Elixir Bunn Coffee Roasters (مقهى و محمصة إكسير البن),"Coffee Shop, Café","7144 Salim Ibn Maqil, An Nakhil (Prince Abdulaziz Ibn Thunayyan St.), الرياض 12392, المملكة العربية السعودية",Expensive,3402.0,15003,952,9.1,4182.0,1,500+,19357.0
Five Guys (فايڤ جايز),Burger Joint,"Mateen Plaza, الرياض 13316, المملكة العربية السعودية",Very Expensive,2954.0,2094,764,8.1,4140.0,1,500+,5812.0
Sultan's Steakhouse (سلطانز ستيك هاوس),"Turkish Restaurant, Steakhouse","(The Boulevard) Prince Turki bin Abdulaziz Al Awwal Rd (Prince Turki Bin Abdulaziz Al Awal), الرياض 31411, المملكة العربية السعودية",Moderate,3115.0,7889,809,8.9,4052.0,1,500+,11813.0
Al Masaa (المساء),"Café, Restaurant","Aluroba St (King Fahad Road), الرياض, المملكة العربية السعودية",Expensive,2687.0,4769,836,7.2,4035.0,1,500+,8292.0
The Cheesecake Factory (ذي تشيزكيك فاكتوري),American Restaurant,"Imam Muhammed Bin Saud Rd (Sidra Restaurants), الرياض, المملكة العربية السعودية",Moderate,3177.0,9729,898,9.1,3972.0,1,500+,13804.0
12 Cups (١٢ كبز),Coffee Shop,"The Boulevard (Prince Turki Bin Abdullaziz Alawal), Riyadh 13513, المملكة العربية السعودية",Cheap,2897.0,14226,570,8.2,3903.0,1,500+,17693.0
Nino (نينو),Italian Restaurant,"Prince Muhammad Bin Abdulaziz Rd (Tahliya St), الرياض 12241, المملكة العربية السعودية",Expensive,2931.0,2952,861,8.4,3893.0,1,500+,6744.0
Zaatar w Zeit (زعتر و زيت),"Breakfast Spot, Middle Eastern Restaurant","Tahlia St., الرياض 12242, المملكة العربية السعودية",Expensive,3073.0,1968,797,8.8,3844.0,1,500+,5838.0
PAUL (پول),"French Restaurant, Café, Bakery","Tahlia St. (Prince Mohammad bin Abdulaziz Rd), الرياض 12213, المملكة العربية السعودية",Expensive,2759.0,4029,897,8.3,3744.0,1,500+,7685.0
66 Cups,Coffee Shop,"Prince Turki Al Awwal Rd., الرياض 12373, المملكة العربية السعودية",Cheap,6064.0,17997,423,8.7,3704.0,1,500+,24484.0
Café Bateel (كافيه بتيل),"Café, Restaurant","Olaya St. (Thalia St), الرياض, المملكة العربية السعودية",Expensive,2924.0,3884,675,8.8,3673.0,1,500+,7483.0
Nino (نينو),Italian Restaurant,"King abdulaziz Rd (Exit 5), الرياض, المملكة العربية السعودية",Moderate,2773.0,1749,677,8.3,3670.0,1,500+,5199.0
Starbucks (ستاربكس),Coffee Shop,"Takhassusi St (Takhassusi St), الرياض, المملكة العربية السعودية",Expensive,3042.0,5324,285,9.0,3557.0,1,500+,8651.0
"TSC ""Signature"" (تي أس سي سيجنتشر)","American Restaurant, Italian Restaurant","Abdullah Bin Hamdan St. (Tahlia St.), الرياض, المملكة العربية السعودية",Moderate,2615.0,2165,924,8.3,3557.0,1,500+,5704.0
Draft Café (درافت كافيه),Café,"King Muhammad Al Khamees St, الرياض 12223, المملكة العربية السعودية",Cheap,2568.0,8048,753,8.4,3534.0,1,500+,11369.0
LA RUSTICA Pizzeria (لاروستيكا بيتزاريا),"Pizza Place, Italian Restaurant","Olaya-Wadi Al Artawi St (Tahlia St), الرياض, المملكة العربية السعودية",Moderate,2673.0,2460,1023,9.2,3520.0,1,500+,6156.0
Al-Mayas Beirut (المياس بيروت),"Middle Eastern Restaurant, Mediterranean Restaurant","Prince Sultan Bin Abdul Aziz St. (Btwn King Fahad Rd & Takhassusi St), الرياض, المملكة العربية السعودية",Expensive,2533.0,1983,968,8.0,3509.0,1,500+,5484.0
White Garden Cafe (وايت قاردن كافيه),"Café, Coffee Shop","AL Haweshel Center (Tahlia & Olaya- Behind Samba Bank), الرياض, المملكة العربية السعودية",Moderate,2556.0,4256,892,8.3,3452.0,1,500+,7704.0
San Carlo Cicchetti,"Italian Restaurant, Restaurant","Al Dabab st, الرياض 12234, المملكة العربية السعودية",Moderate,2614.0,11207,648,8.8,3434.0,1,500+,14469.0
Zaatar w Zeit (زعتر و زيت),Middle Eastern Restaurant,"King Abdulaziz Rd, الرياض, المملكة العربية السعودية",Expensive,2760.0,1325,574,9.0,3384.0,1,500+,4659.0
Starbucks (ستاربكس),Coffee Shop,"Jarir Riyadh-North Ring Road-Exit 5 (Jarir An-Nafel), الرياض, المملكة العربية السعودية",Moderate,2794.0,3262,280,8.8,3375.0,1,500+,6336.0
Half Million (هاف مليون),Coffee Shop,"Prince Muhammad Bin Abdulaziz Rd, الرياض 12331, المملكة العربية السعودية",Cheap,2378.0,14582,588,8.1,3342.0,1,500+,17548.0
Armin (آرمين),Mediterranean Restaurant,"2819 Al Imam Saud Ibn Abdulaziz Rd. (Takhassusi St), الرياض, المملكة العربية السعودية",Expensive,2395.0,2321,913,8.2,3338.0,1,500+,5629.0
Mama Noura (ماما نورة),"Shawarma Place, Juice Bar","King Abdullah Rd, الرياض 12343, المملكة العربية السعودية",Cheap,2782.0,1405,493,9.1,3326.0,1,500+,4680.0
Acoustic Tea Lounge (أكوستك تي لاونج),"Tea Room, Café, Lounge","Tahlia St., الرياض, المملكة العربية السعودية",Expensive,2375.0,2507,988,8.4,3322.0,1,500+,5870.0
Eataly (إيتالي),"Italian Restaurant, Gourmet Shop, Café","Tahlia St. (Prince Muhammed Bin Abdulaziz Road), الرياض, المملكة العربية السعودية",Moderate,2462.0,3461,822,8.7,3297.0,1,500+,6745.0
Lavash (لافاش),Eastern European Restaurant,"Prince Mohammed Bin Abdulaziz Road (Prince Muhammad bin Abdul Aziz RD), الرياض 12313, المملكة العربية السعودية",Moderate,2626.0,4941,748,9.0,3296.0,1,500+,8315.0
Brew92° (برو٩٢ °),Café,"Uthman Ibn Affan Rd., الرياض 13317, المملكة العربية السعودية",Cheap,2465.0,14536,631,8.6,3283.0,1,500+,17632.0
Fuddruckers (فدركرز),American Restaurant,"Takhassusi St. (Tahliya St), الرياض 12313, المملكة العربية السعودية",Moderate,2394.0,2071,582,8.3,3251.0,1,500+,5047.0
Lilou Artisan Patisserie (ليلو أرتيسان باتيسري),Pastry Shop,"Prince Abdulaziz Ibn Musaid Ibn Jalawi St (Prince Sultan Bin Abdulaziz Rd), الرياض 12221, المملكة العربية السعودية",Expensive,2683.0,1333,562,9.1,3243.0,1,500+,4578.0
CHKN (شكن),"Fried Chicken Joint, Burger Joint","Ubay Ibn Muadh Al Ansari St, الرياض 13315, المملكة العربية السعودية",Cheap,2429.0,9953,522,8.7,3147.0,1,500+,12904.0
Kumar (كومار),Indian Restaurant,"Alamir St, الرياض 13511, المملكة العربية السعودية",Moderate,1942.0,3311,851,8.7,3084.0,1,500+,6104.0
L'ETO,Café,"Northern Ring Rd. (Northern Ring Rd. Riyadh 12467), الرياض 12467, المملكة العربية السعودية",Cheap,2135.0,8881,572,8.1,3021.0,1,500+,11588.0
WAGYU (واقيو),Burger Joint,"8563 Prince Abdulaziz Ibn Musaid Ibn Jalawi St (Dhabab St), الرياض 12234, المملكة العربية السعودية",Cheap,2425.0,9550,780,9.1,3012.0,1,500+,12755.0
Buffalo Wild Wings (بافالو وايلد وينجز),"Wings Joint, American Restaurant","King Fahad Rd (Imam Saud Bin Faisal Roud), الرياض 13315, المملكة العربية السعودية",Moderate,2162.0,1867,560,8.2,2990.0,1,500+,4589.0
Starbucks (ستاربكس),Coffee Shop,"King Abdulaziz Rd, الرياض 13316, المملكة العربية السعودية",Moderate,2464.0,5156,232,9.0,2953.0,1,500+,7852.0
Pandemic (بانديمك كافيه),Coffee Shop,"Prince Turki Bin Abdulaziz Al Awwal  Rd., الرياض 12362, المملكة العربية السعودية",Cheap,1963.0,23198,499,7.7,2946.0,1,500+,25660.0
Tutti Cafè (أنواع القهوة),"Café, Coffee Shop","Tahliya St, الرياض 12222, المملكة العربية السعودية",Moderate,2315.0,2392,627,8.6,2940.0,1,500+,5334.0
Starbucks (ستاربكس),Coffee Shop,"Olaya St (Mousa Bin Nusair St), الرياض 12214, المملكة العربية السعودية",Expensive,2477.0,4548,261,8.9,2936.0,1,500+,7286.0
PORTERHOUSE,"Steakhouse, American Restaurant, BBQ Joint","Tahliya St (King Fahad Road), الرياض, المملكة العربية السعودية",Very Expensive,2750.0,3235,640,9.0,2935.0,1,500+,6625.0
Steak House (ستيك هاوس),Steakhouse,"Northern Ring Branch Rd (Riyadh 12467), الرياض 12467, المملكة العربية السعودية",Expensive,2074.0,2142,496,8.2,2857.0,1,500+,4712.0
Cioccolat Italiani (شوكليت ايتالياني),"Ice Cream Shop, Italian Restaurant, Café","Aknaz Center beside Apple Bee's. (Tahliah St.), الرياض, المملكة العربية السعودية",Expensive,2149.0,2700,726,8.6,2845.0,1,500+,5575.0
Alchemy Coffee Roasters (الكَمِي للقهوة المختصة),Coffee Shop,"7018 Al Imam Saud Ibn Faysal Rd (King Abdulaziz Rd), الرياض 13321, المملكة العربية السعودية",Cheap,2269.0,14297,344,9.0,2807.0,1,500+,16910.0
Hamburgini (هامبرغيني),"Burger Joint, Fast Food Restaurant","Prince Turki Al-Thani St. (Tamir St), الرياض, المملكة العربية السعودية",Cheap,2143.0,878,735,8.4,2805.0,1,500+,3756.0
The Mansion Lounge (ذا مانشن),"Restaurant, Lounge, Café","Tahlia St. (King Fahad Rd), الرياض, المملكة العربية السعودية",Expensive,1850.0,2901,838,8.1,2802.0,1,500+,5589.0
Ladurée (لادوريه),"Café, Dessert Shop","Olaya Street, Centria Mall, 2nd Floor, الرياض 11672, المملكة العربية السعودية",Expensive,2153.0,4794,642,8.9,2784.0,1,500+,7589.0
Cipriani (شيبرياني),Italian Restaurant,"6927 Prince Turki Ibn Abdulaziz Al Awwal Rd, Hittin, الرياض 13512, المملكة العربية السعودية",Moderate,2019.0,9456,513,8.4,2783.0,1,500+,11988.0
lavash lounge (لافاش لاونج),Eastern European Restaurant,"Exit 5, King Abdulaziz Rd, الرياض, المملكة العربية السعودية",Expensive,1937.0,2220,757,8.0,2780.0,1,500+,4914.0
Caffé bene (كافيه بيني),"Coffee Shop, Café","Takhassusi St, الرياض, المملكة العربية السعودية",Moderate,2020.0,2786,617,8.3,2726.0,1,500+,5423.0
Pizza Roma (بيتزا روما),"Pizza Place, Italian Restaurant","Abdullah Al-Hamdan St., الرياض 12211, المملكة العربية السعودية",Expensive,2134.0,1088,593,9.1,2721.0,1,500+,3815.0
O’PO speciality coffee (أوپو),"Café, Coffee Shop","King Abdullah Rd. (Exit 10), الرياض 13214, المملكة العربية السعودية",Cheap,2168.0,11850,559,8.9,2715.0,1,500+,14577.0
Urth Caffé,Café,"Oud Square (Umro Aldhamry Street), الرياض 12511, المملكة العربية السعودية",Cheap,2285.0,10786,239,9.3,2678.0,1,500+,13310.0
Starbucks (ستاربكس),Coffee Shop,"Al Nakhlah Plaza (at Prince Saud Bin Miqren Rd), الرياض, المملكة العربية السعودية",Moderate,2305.0,4921,246,9.2,2671.0,1,500+,7472.0
Starbucks (ستاربكس),Coffee Shop,"Othman Bin Affan Rd. (Othman Ibn Affan Rd), الرياض 13318, المملكة العربية السعودية",Moderate,2202.0,3175,205,8.8,2616.0,1,500+,5582.0
Shawarma House (بيت الشاورما),Shawarma Place,"Prince Mamdouh St, الرياض, المملكة العربية السعودية",Cheap,2011.0,1022,463,8.5,2585.0,1,500+,3496.0
Acme,Burger Joint,"Galaxy Life, Al-Taawun District, الرياض 12476, المملكة العربية السعودية",Cheap,1808.0,14090,566,8.3,2513.0,1,500+,16464.0
Leila (ليلى من لبنان),Lebanese Restaurant,"Takhassusi St. (King Abdullah Rd.), الرياض 12364, المملكة العربية السعودية",Expensive,1603.0,3087,710,6.9,2508.0,1,500+,5400.0
Benihana (بنيهانا),Japanese Restaurant,"Northern Ring Rd. (Northern Ring Rd.), الرياض, المملكة العربية السعودية",Expensive,1720.0,1921,585,7.9,2501.0,1,500+,4226.0
Mol10 (مولتن),"Dessert Shop, Café","Mecca Road (Prince Turki Bin Abdulaziz St.), الرياض, المملكة العربية السعودية",Expensive,1861.0,2751,468,8.6,2472.0,1,500+,5080.0
L'Entrecôte Cafe de Paris (انتروكوت كافية دو باريس),"Café, Swiss Restaurant","Al-Faisaliah Tower (King Fahd Rd.), الرياض, المملكة العربية السعودية",Expensive,1925.0,9082,369,8.8,2457.0,1,500+,11376.0
Mama Noura (ماما نورة),Shawarma Place,"Dhabab St. (Prince Fahad Ibn Saad Ibn Abdulrahman), الرياض, المملكة العربية السعودية",Cheap,1958.0,1002,378,8.9,2428.0,1,500+,3338.0
Less Minimalist Specialty Coffee (لِس - قهوة مختصة),Coffee Shop,"Al-Yasmin (King Abdulaziz Rd.), الرياض 13326, المملكة العربية السعودية",Cheap,1859.0,11496,445,8.7,2423.0,1,500+,13800.0
Fuddruckers (فدركرز),American Restaurant,"King Abdullah Rd. (Khalid Bin AlWaleed St.), الرياض, المملكة العربية السعودية",Moderate,1851.0,1186,410,8.5,2418.0,1,500+,3447.0
8Oz Speciality Coffee,Coffee Shop,"Anas Ibn Malik Rd. (Riyadh), الرياض 13524, المملكة العربية السعودية",Cheap,1918.0,21913,418,8.9,2406.0,1,500+,24249.0
Montreux (مونترو),"Dessert Shop, Café","At: Fiorenza La Piazza, الرياض 12364, المملكة العربية السعودية",Expensive,1919.0,8601,511,8.8,2401.0,1,500+,11031.0
Belo (بيلو),Restaurant,"King Abdullah Rd, الرياض, المملكة العربية السعودية",Moderate,3702.0,2596,566,8.0,2390.0,1,500+,6864.0
Muunnis (مونيز),"Lounge, Bistro","Takhassusi St, الرياض, المملكة العربية السعودية",Expensive,1520.0,4520,702,7.5,2381.0,1,500+,6742.0
CAF Cafè,Café,"Riyadh Park Mall Northern Ring Branch Rd, الرياض, المملكة العربية السعودية",Cheap,1820.0,6852,299,8.4,2359.0,1,500+,8971.0
Starbucks Reserve (ستاربكس ريزيرف),Coffee Shop,"Takhassusi St, الرياض 12332, المملكة العربية السعودية",Cheap,1992.0,14930,357,9.2,2357.0,1,500+,17279.0
Lenôtre (لينوتريه),"Café, French Restaurant, Dessert Shop","Centria Mall, Olaya St (Tahlia St), الرياض 12241, المملكة العربية السعودية",Cheap,1717.0,3606,543,8.3,2357.0,1,500+,5866.0
ZORA (زورا),Coffee Shop,"Abi Bin Maaz Al Ansari Street (Abi Bin Maaz Al Ansari Street), الرياض 13315, المملكة العربية السعودية",Cheap,1824.0,15399,385,8.7,2353.0,1,500+,17608.0
Five Elephants - Speciality Coffee shop (فايف اليفانتس - قهوة مختصة),Coffee Shop,"King Abdulaziz Branch Rd. (King AbdulAziz Branch Rd.), الرياض 13321, المملكة العربية السعودية",Cheap,1770.0,7916,475,8.4,2352.0,1,500+,10161.0
White Garden The Lounge (وايت قاردن ذا لاونج),"Café, Lounge","Northern Ring Rd, الرياض 13512, المملكة العربية السعودية",Cheap,1702.0,5971,519,8.2,2346.0,1,500+,8192.0
Karam Beirut (كرم بيروت),Lebanese Restaurant,"Prince Mohammad bin Abdulaziz Rd, الرياض, المملكة العربية السعودية",Expensive,1569.0,1882,567,7.3,2340.0,1,500+,4018.0
Draft Café (درافت كافيه),Coffee Shop,"Diplomatic Quarter (Jeddah Rd.), الرياض 12511, المملكة العربية السعودية",Cheap,1801.0,9847,264,8.4,2314.0,1,500+,11912.0
SORS (سورس),"Bakery, Coffee Shop, Café","Prince Muhammad Ibn Saad Bin Abdulaziz Rd, الرياض 13512, المملكة العربية السعودية",Cheap,2085.0,16611,389,9.3,2299.0,1,500+,19085.0
Brew Crew (برو كرو),Coffee Shop,"Nahr An Nil, Al Mughrizat، Al Mughrizat, Riyadh 12483, Saudi Arabia (Nahr Al Neel Street), الرياض 12483, المملكة العربية السعودية",Cheap,1800.0,9644,580,9.1,2298.0,1,500+,12024.0
Farzi Café,Indian Restaurant,"Hittin  - The Residence (Prince Saud Bin Mohammed Bin Muqrin Rd), الرياض 13713, المملكة العربية السعودية",Moderate,1599.0,7699,540,8.6,2285.0,1,500+,9838.0
Starbucks (ستاربكس),Coffee Shop,"Tahliah St (at Prince Muhammad Bin Abdulaziz St), الرياض 12223, المملكة العربية السعودية",Expensive,1928.0,2541,169,8.9,2281.0,1,500+,4638.0
JOLT,"Coffee Shop, Café","King Abdulaziz Rd, الرياض 13316, المملكة العربية السعودية",Cheap,1865.0,9760,199,8.9,2279.0,1,500+,11824.0
Roma Restaurant (مطعم روما),Italian Restaurant,"Mousa Bin Nusair St (Mousa Bin Nusair St.), الرياض, المملكة العربية السعودية",Expensive,1744.0,1249,559,8.9,2265.0,1,500+,3552.0
Abaq Coffee Roasters (قهوة ومحمصة عبق),"Coffee Shop, Coffee Roaster","طريق التخصصي (مقابل كامباوند مستشفى المملكة), الرياض 13322, المملكة العربية السعودية",Cheap,1691.0,5316,524,8.5,2263.0,1,500+,7531.0
Starbucks (ستاربكس),Coffee Shop,"Abi Bakr As Siddiq Rd (Thumama Rd), الرياض 13316, المملكة العربية السعودية",Moderate,1947.0,3515,178,9.2,2219.0,1,500+,5640.0
Cioccolat Italiani (شوكليت ايتالياني),"Ice Cream Shop, Café, Chocolate Shop","Northern Ring Rd, الرياض, المملكة العربية السعودية",Expensive,1736.0,1967,411,8.7,2215.0,1,500+,4114.0
The Butcher Shop and Grill (ذي بوتشر شوب اند غريل),Steakhouse,"Tahlia Street, الرياض, المملكة العربية السعودية",Expensive,1557.0,1626,598,8.1,2214.0,1,500+,3781.0
ca/le/ndar,"Restaurant, Bakery","Oud Sqaure / Diplomatic Quarter (Umro Aldhamry Street), الرياض 12511, المملكة العربية السعودية",Moderate,1307.0,7373,480,6.7,2196.0,1,500+,9160.0
The Aitch Cafe,"Café, Coffee Shop","Prince Mohamed Ibn Saad Rd (Alkhair Street), الرياض 13515, المملكة العربية السعودية",Cheap,1521.0,7522,327,7.8,2195.0,1,500+,9370.0
Third Cafe (ثيرد كافيه),"Coffee Shop, Café","Uthman Ibn Affan Rd. (Uthman Ibn Affan Road), الرياض 12474, المملكة العربية السعودية",Cheap,1552.0,10882,406,8.2,2191.0,1,500+,12840.0
November Coffee (نوفمبر كوفي),Coffee Shop,"Prince Muqrin Ibn Abdulaziz St., الرياض, المملكة العربية السعودية",Cheap,1697.0,5502,529,8.6,2190.0,1,500+,7728.0
Bagel-o-Bagel (بيقل-أو-بيقل),"Bagel Shop, Breakfast Spot","Prince Abdulaziz Bin Thunayan St (Salim Bin Muqel St), الرياض 12393, المملكة العربية السعودية",Cheap,1673.0,7507,458,9.0,2181.0,1,500+,9638.0
Century Burger (سنشري برجر),"Burger Joint, American Restaurant","Tahlia St., الرياض 12222, المملكة العربية السعودية",Moderate,1548.0,2592,448,7.3,2178.0,1,500+,4588.0
Operation Falafel (أوبريشن فلافل),"Falafel Restaurant, Breakfast Spot","Rubeen Plaza, الرياض 13512, المملكة العربية السعودية",Cheap,1706.0,4576,491,8.9,2177.0,1,500+,6773.0
Give Me Five (قيڤ مي فايڤ),Mediterranean Restaurant,"King Salman Rd., الرياض 13531, المملكة العربية السعودية",Moderate,1524.0,6153,557,8.1,2153.0,1,500+,8234.0
Starbucks (ستاربكس),Coffee Shop,"Al Maather Plaza (Takhassusi), الرياض, المملكة العربية السعودية",Moderate,1888.0,5341,204,9.3,2145.0,1,500+,7433.0
Finzione da Pizza,Pizza Place,"Anas Bin Malek Rd. (13524), الرياض 13524, المملكة العربية السعودية",Cheap,1529.0,1940,660,8.9,2113.0,1,500+,4129.0
4Twins Coffee & Sweet,"Food Truck, Dessert Shop","Riyadh (Uthman Ibn Affan Rd), الرياض 13318, المملكة العربية السعودية",Cheap,1838.0,4885,204,9.3,2109.0,1,500+,6927.0
Circle (سيركل),Café,"Prince Turki Ibn Abdulaziz Al Awwal Rd, The Boulevard Mall, (Exit 2), الرياض, المملكة العربية السعودية",Cheap,1320.0,3143,632,7.1,2096.0,1,500+,5095.0
Gourmet Cafe (جورميه كافيه),Café,"3678 Al Abbas Ibn Abdulmutalib, الرياض 12476, المملكة العربية السعودية",Cheap,1535.0,10047,479,8.4,2090.0,1,500+,12061.0
Terrace No.9,Burger Joint,"Alnafal, الرياض 13312, المملكة العربية السعودية",Cheap,1333.0,4229,931,8.6,2080.0,1,500+,6493.0
Sum+Things,"Restaurant, Dessert Shop","The Boulevard, Riyadh (Northern Ring Rd.), الرياض 13513, المملكة العربية السعودية",Moderate,1556.0,6892,482,8.8,2077.0,1,500+,8930.0
Le Grenier à Pain (لو غرونييه ابان),"French Restaurant, Bakery, Pastry Shop","Hittin, Riyadh 13512 (Prince Turki Alawwal Road, Exit 2), الرياض 13512, المملكة العربية السعودية",Expensive,1465.0,3672,665,8.6,2077.0,1,500+,5802.0
Key Café,"Café, Coffee Shop","King Abdulaziz Rd, الرياض 13315, المملكة العربية السعودية",Cheap,1488.0,5006,284,8.1,2065.0,1,500+,6778.0
Güllüoglu (قولو أغلو),"Turkish Restaurant, Café, Dessert Shop","King Fahad Rd., الرياض, المملكة العربية السعودية",Moderate,1338.0,1214,580,7.1,2047.0,1,500+,3132.0
Chili's (تشيليز),"Tex-Mex Restaurant, American Restaurant","Tahlia St., الرياض, المملكة العربية السعودية",Expensive,1412.0,1601,364,7.6,2045.0,1,500+,3377.0
Eggsactly,Breakfast Spot,"AlNakheel district, الرياض 12373, المملكة العربية السعودية",Cheap,1641.0,5427,366,9.1,2036.0,1,500+,7434.0
Johnny Rocket's (جوني روكيتس),Burger Joint,"King Abdulaziz Rd., الرياض, المملكة العربية السعودية",Moderate,1458.0,1261,451,8.0,2034.0,1,500+,3170.0
Catch 22,Restaurant,"The Zone, الرياض 12364, المملكة العربية السعودية",Moderate,1221.0,8541,578,7.6,2031.0,1,500+,10340.0
BurgerFuel (برغر فيول),Burger Joint,"Lbn Jalawi & Prince Sultan Street, Cnr Of Prince Abdul Aziz Masjid (Prince Sultan Ibn Abdulaziz St.), الرياض 11564, المملكة العربية السعودية",Expensive,1384.0,1258,509,7.7,2026.0,1,500+,3151.0
