name,categories,address,price,likes,photos,tips,rating,ratingSignals,has_rating,signals_band,engagement
قطوف وحلا,Dessert Shop,"الرياض 14712, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
Numan Pizza (النخمن بيتذا),Pizza Place,المملكة العربية السعودية,Cheap,0.0,0,0,,,0,,0.0
break fast,Diner,المملكة العربية السعودية,Cheap,0.0,0,0,,,0,,0.0
حلويات ناصر العبيد,Dessert Shop,"الرياض, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
Copper Cafe (قهوة نحاسية),Coffee Shop,"الرياض 14716, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
Dorking Main Kitchen,Fried Chicken Joint,المملكة العربية السعودية,Cheap,0.0,2,0,,,0,,2.0
إمبراطور الشاورما,Shawarma Place,"الرياض 14519, المملكة العربية السعودية",Nan,0.0,1,0,,,0,,1.0
محامص المالكي,Café,المملكة العربية السعودية,Cheap,0.0,0,0,,,0,,0.0
Pizza Hatlee (بيتزا هات لي),Pizza Place,"الرياض, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
برجر مشوي,Burger Joint,"Mohammad Rashid Rida, الرياض 14518, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
فطيرة الفلافل,Fast Food Restaurant,"الرياض 14518, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
هارديز,Fast Food Restaurant,"الرياض 14518, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
لده المشاوى الترکىه,Turkish Restaurant,"Riyadh, المملكة العربية السعودية",Moderate,0.0,0,0,,,0,,0.0
Herfy26,Burger Joint,"Alkharj Road Yasmeen Mall, الرياض 14317, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
Starbucks Caffee,Coffee Shop,"الرياض 14334, المملكة العربية السعودية",Cheap,0.0,2,0,,,0,,2.0
Alkhafeef,Sandwich Place,"Abdulmalek Bin Marwan St., الرياض 14928, المملكة العربية السعودية",Cheap,0.0,1,0,,,0,,1.0
Cinnabon,"Bakery, Dessert Shop","الرياض 14928, المملكة العربية السعودية",Cheap,0.0,1,0,,,0,,1.0
Shawirmarito,Shawarma Place,"الرياض 14928, المملكة العربية السعودية",Nan,0.0,0,0,,,0,,0.0
Krispy Chicken,Fried Chicken Joint,"الرياض 14928, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
Coffee Face Café (ديوانية وجه القهوة),Café,"Al-Ikhlas St, الرياض, المملكة العربية السعودية",Cheap,0.0,1,0,,,0,,1.0
شاهي عالحطب ماله اسم,Café,"الرياض 14927, المملكة العربية السعودية",Cheap,0.0,2,0,,,0,,2.0
طعمة المذاق,Burger Joint,"الرياض 14926, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
شايه,Persian Restaurant,"الرياض 12992, المملكة العربية السعودية",Nan,0.0,0,0,,,0,,0.0
نكهات الايسكريم ICF,Ice Cream Shop,"As suwaidi Al Gharabi - Weastern Ring Road (Exit 27), الرياض 12993, المملكة العربية السعودية",Cheap,0.0,1,0,,,0,,1.0
Kudu-كودو,Fast Food Restaurant,"الرياض, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
Burger King - Exit 28,Burger Joint,"Western Ring Rd, Between Exit 27 & 28, Opposite Hyundai, As Suwaidi Al Gharabi, الرياض 12993, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
قهوة أبو أحمد,Café,"الرياض 12993, المملكة العربية السعودية",Cheap,0.0,1,0,,,0,,1.0
مطعم أكلنا غير,Halal Restaurant,"حمزة بن عبدالمطلب, الرياض 12986, المملكة العربية السعودية",Nan,0.0,0,0,,,0,,0.0
حلويات بلح وقشطة,Dessert Shop,المملكة العربية السعودية,Cheap,0.0,0,0,,,0,,0.0
رشفة حظ,Café,"الرياض 12994, المملكة العربية السعودية",Cheap,0.0,2,0,,,0,,2.0
هرفي ) الدائري الغربي (,Burger Joint,المملكة العربية السعودية,Cheap,0.0,0,0,,,0,,0.0
تاج التفاح للعصائر,Juice Bar,المملكة العربية السعودية,Cheap,0.0,5,2,,,0,,7.0
مطعم الديوان,Diner,المملكة العربية السعودية,Cheap,0.0,0,0,,,0,,0.0
the hope (ذا هوب),Food Truck,"الرياض, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
Farfour (فرفور),Burger Joint,"Riyadh 12986 (2989 Ibn Awn, Az Zahrah), الرياض 12986, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
البيتزا الشهية,Pizza Place,"البديعة شارع التسهيلات, الرياض, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
Green Buffet (بوفية الأخضر),Burger Joint,المملكة العربية السعودية,Cheap,0.0,2,1,,,0,,3.0
بيتزا الدكتورة,Pizza Place,المملكة العربية السعودية,Cheap,0.0,1,2,,,0,,3.0
Fish Shop,Fish & Chips Shop,"Fryan (Fryan), الرياض, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
Dose Never Overdose,Café,"الرياض 12988, المملكة العربية السعودية",Cheap,0.0,3,0,,,0,,3.0
ستاركس,Coffee Shop,"ستاربكس, الرياض 12988, المملكة العربية السعودية",Cheap,0.0,2,0,,,0,,2.0
سيارة بليلة,Himalayan Restaurant,المملكة العربية السعودية,Nan,0.0,2,0,,,0,,2.0
الرمنسيه الابراج,Arepa Restaurant,المملكة العربية السعودية,Cheap,0.0,2,0,,,0,,2.0
Café Girls,Café,"Southern Ring Branch Road (Next to Jarir Bookstore), الرياض, المملكة العربية السعودية",Cheap,0.0,1,0,,,0,,1.0
دايت سنتر,Diner,"الرياض 12799, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
مذاق الكيك,New American Restaurant,"الرياض 12988, المملكة العربية السعودية",Expensive,0.0,1,0,,,0,,1.0
متحف رواق التراث,Café,"الحزم (نمار), الرياض 14963, المملكة العربية السعودية",Cheap,0.0,1,0,,,0,,1.0
اوبشنز كافيه,Coffee Shop,"Wadi Namat, الرياض 14962, المملكة العربية السعودية",Cheap,0.0,2,0,,,0,,2.0
حلويات سعد الدين | فرع الشفا,Dessert Shop,المملكة العربية السعودية,Cheap,0.0,1,0,,,0,,1.0
AmoHamza (عمو حمزة),Seafood Restaurant,"Ash Shifa, Dirab Road, Riyadh 14713, الرياض 11435, المملكة العربية السعودية",Expensive,0.0,0,0,,,0,,0.0
المثالي,Bakery,"طريق ديراب غربا (شارع ابن المأمون), الرياض 14962, المملكة العربية السعودية",Cheap,0.0,1,0,,,0,,1.0
Indian Valley Restaurant,Asian Restaurant,"Shifa. Dirab. Road, المملكة العربية السعودية",Moderate,0.0,0,0,,,0,,0.0
كمون ليمون,Restaurant,"Alshifa, الرياض 14713, المملكة العربية السعودية",Moderate,0.0,3,0,,,0,,3.0
Meed (ميد),Snack Place,المملكة العربية السعودية,Cheap,0.0,7,0,,,0,,7.0
ورقة عنب,Bistro,"الرياض 14713, المملكة العربية السعودية",Nan,0.0,3,0,,,0,,3.0
Mustafa Tannoür,Middle Eastern Restaurant,"Ash Shifa (At Turmudhi), الرياض 11454, المملكة العربية السعودية",Moderate,0.0,0,0,,,0,,0.0
مطعم مصطفى تنور,Restaurant,"شارع الترمذي, الرياض 14713, المملكة العربية السعودية",Moderate,0.0,0,0,,,0,,0.0
حلويات الركن العربي,Dessert Shop,"الرياض 14713, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
مطعم الشلال السوري,Restaurant,المملكة العربية السعودية,Moderate,0.0,0,0,,,0,,0.0
House Damascus Pie (بيت الفطيرة الدمشقية),Pizza Place,"الشفا (شارع الترمذي), الرياض, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
شاهي ابو وليد الشفا,Tea Room,"الرياض (النصر), الرياض 14712, المملكة العربية السعودية",Moderate,0.0,2,0,,,0,,2.0
شاهي أبو وليد,Café,"الرياض 14712, المملكة العربية السعودية",Cheap,0.0,1,0,,,0,,1.0
وزنة فود ترك - Waznah,Coffee Shop,"الرياض 14712, المملكة العربية السعودية",Cheap,0.0,2,0,,,0,,2.0
مدهش,Juice Bar,"الرياض, المملكة العربية السعودية",Cheap,0.0,1,0,,,0,,1.0
جنى الشام,Snack Place,المملكة العربية السعودية,Cheap,0.0,0,0,,,0,,0.0
لقيمات ساره,Creperie,"الرياض 14713, المملكة العربية السعودية",Nan,0.0,0,0,,,0,,0.0
كتاكيت,Burger Joint,المملكة العربية السعودية,Cheap,0.0,2,0,,,0,,2.0
هشهشة HashHasha,Falafel Restaurant,"الرياض 14515, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
عشاق الطعام,Middle Eastern Restaurant,"al aziziyah (Mohammed rashid rida st), الرياض 14514, المملكة العربية السعودية",Moderate,0.0,0,0,,,0,,0.0
مذاق الكشري,Restaurant,"الرياض 14514, المملكة العربية السعودية",Moderate,0.0,0,0,,,0,,0.0
شمس الرافدين للمشويات,Middle Eastern Restaurant,المملكة العربية السعودية,Moderate,0.0,0,0,,,0,,0.0
بيتزا باستا,Italian Restaurant,"الرياض 14515, المملكة العربية السعودية",Moderate,0.0,0,0,,,0,,0.0
مطعم الارز اللبناني,Restaurant,المملكة العربية السعودية,Moderate,0.0,0,0,,,0,,0.0
حلم الفواكة,Juice Bar,"Riyadh - Arafat Rd (Arafat Rd), الرياض, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
Sweetness Restaurant,Restaurant,"alaziziyah Distract (Arafat Rd), الرياض 14518, المملكة العربية السعودية",Moderate,0.0,1,0,,,0,,1.0
تاج الحلا,Dessert Shop,"الرياض 14518, المملكة العربية السعودية",Cheap,0.0,2,0,,,0,,2.0
Burger King - Azizia,Burger Joint,"Panda Supermarket, Azizia Rd, Ad Dar Al Baida, الرياض 14517, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
فلافل وفطيرة رومنسية الشام,Falafel Restaurant,المملكة العربية السعودية,Cheap,0.0,0,0,,,0,,0.0
ركن حمص ابو زكي,Falafel Restaurant,"الاسكان, الرياض 14317, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
فوال الطائف,Café,"الرياض 14317, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
Pizza Mayyar,Pizza Place,"الاسكان تريق الخرج (شارع رقم 4), الرياض 11438, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
